ResponseId,Condition,Disease,Initial,Choice,Final,Delta,CertaintyClass,CrossFlag,TestOrder,ChoiceRaw,ChoiceText,Duration
R_5zCE3lX2BfMxD6F,Moderation,A,59,0,38,-21,Less,0,YX,2,L2,60
R_1CBLj6s8OEKFjgB,Moderation,A,65,1,-31,-34,Less,1,YX,1,Y2,94
R_5Pq1stWmyRuyHgt,Moderation,H,75,1,65,-10,Less,0,XY,2,Y2,101
R_7VIOwGBq6KySS5P,Polarization,H,23,1,37,14,More,0,XY,2,Y1,89
R_33EIRLZo9bFVDcR,Control,H,21,0,51,30,More,0,XY,2,an allozedic disease,92
R_6cS40LCq80cMoQg,Control,A,14,1,9,-5,Less,0,XY,2,an allozedic disease,234
R_6038evvr9pUw6hX,Polarization,A,55,1,55,0,Equal,0,XY,2,Y1,70
R_7CEr0JrLGLDW6Ab,Control,A,60,1,40,-20,Less,0,XY,2,an allozedic disease,126
R_7k7FpnXEbKH6vPb,Control,A,30,1,37,7,More,0,XY,2,an allozedic disease,112
R_7n8Af5ZOQHKWsyd,Moderation,A,65,0,-45,-20,Less,1,XY,1,L2,114
R_6ehpUtxDtxcGzJ0,Control,H,66,1,57,-9,Less,0,YX,2,a hypozedic disease,57
R_6uKE0l5QhJJTfG7,Moderation,H,85,1,75,-10,Less,0,YX,1,Y2,255
R_57uULB69xGw7zQB,Control,H,30,1,65,35,More,0,XY,1,a hypozedic disease,152
R_1suHpzQbGObXjDX,Control,H,100,1,100,0,Equal,0,XY,1,a hypozedic disease,103
R_3Xo0jI5mcBG8TM4,Moderation,H,74,0,88,14,More,0,YX,2,L2,151
R_5HpYSjIrCPzc6MN,Polarization,A,70,1,75,5,More,0,XY,2,Y1,78
R_1JJdaPLTC4ktEeO,Moderation,H,30,1,15,-15,Less,0,YX,1,Y2,87
R_1lb6y2M4GP1bfep,Moderation,H,0,0,-20,20,More,0,XY,1,L2,263
R_78HuroloQ4VSl1k,Control,A,45,1,52,7,More,0,XY,2,an allozedic disease,162
R_6ewqDnaWwh7CxtX,Polarization,A,67,1,77,10,More,0,YX,1,Y1,66
R_3Y36PnJTjPpjoYk,Polarization,A,65,1,60,-5,Less,0,YX,1,Y1,220
R_5cwT2CZxFvAXLgG,Moderation,H,65,0,-15,-50,Less,1,YX,2,L2,300
R_5pQPwnuhzrVmPTE,Polarization,A,79,1,65,-14,Less,0,YX,1,Y1,270
R_1kTFpxFg6oE2Bsl,Control,A,75,1,25,-50,Less,0,XY,2,an allozedic disease,312
R_7F3WHEsFFSC052T,Control,A,78,0,-96,18,More,1,XY,1,a hypozedic disease,59
R_7aFfYoJ6iDEVXas,Control,H,54,1,35,-19,Less,0,YX,2,a hypozedic disease,54
R_7xGlCKMisPSGJhf,Moderation,H,28,0,30,2,Equal,0,YX,2,L2,77
R_3oPoFJWMEEBr4xb,Moderation,H,55,0,61,6,More,0,YX,2,L2,236
R_61DtkIyhULRi2d3,Moderation,H,19,0,65,46,More,0,XY,1,L2,191
R_7RP59FTwtgz5cNX,Moderation,H,96,0,-68,-28,Less,1,XY,1,L2,159
R_5CIKjliJ9jhUmSA,Polarization,A,40,1,97,57,More,0,YX,1,Y1,286
R_3v27vGPHDqjn2xj,Control,H,20,1,15,-5,Less,0,YX,2,a hypozedic disease,136
R_7Por2JI3nPBJmQs,Control,A,75,1,59,-16,Less,0,XY,2,an allozedic disease,116
R_6zUtChZULheiSGa,Moderation,H,50,1,50,0,Equal,0,XY,2,Y2,148
R_5g4QI9eqmyVoyC8,Control,H,40,1,-75,35,More,1,YX,2,a hypozedic disease,39
R_7hiqCEfx5CwBHsK,Control,H,74,1,80,6,More,0,XY,1,a hypozedic disease,194
R_1n2OTN6jmE50wKy,Polarization,H,61,0,43,-18,Less,0,YX,2,L1,39
R_7ET3R48sRxB02xB,Polarization,A,1,1,3,2,Equal,0,YX,1,Y1,182
R_5ERX3oAvlmedFma,Polarization,A,60,1,30,-30,Less,0,XY,2,Y1,150
R_60roGZ8NbtOPWTL,Moderation,A,35,1,66,31,More,0,XY,2,Y2,266
R_30Zb2SUVNuESBWP,Moderation,H,66,1,44,-22,Less,0,XY,2,Y2,55
R_5Gwi6ITdTKDX0la,Control,H,65,1,60,-5,Less,0,XY,1,a hypozedic disease,171
R_7fB4P0W2yPN7Jx9,Control,A,38,0,45,7,More,0,YX,2,a hypozedic disease,69
R_3EWom8PaLd0DxnF,Polarization,H,65,1,76,11,More,0,XY,2,Y1,240
R_1kTot65qrzGZjOh,Control,H,28,1,72,44,More,0,XY,1,a hypozedic disease,186
R_7JiMsa9BOJbjRlL,Polarization,H,65,1,55,-10,Less,0,XY,2,Y1,83
R_3NUN1G69x7y9V2U,Control,A,37,0,34,-3,Equal,0,YX,2,a hypozedic disease,216
R_7ezO73XoDoQUAIH,Control,A,60,1,52,-8,Less,0,XY,2,an allozedic disease,24
R_1Qsso9YHDEZONQh,Polarization,H,65,1,70,5,More,0,XY,2,Y1,148
R_1gLRWwGoVweRWsV,Moderation,H,85,0,89,4,Equal,0,XY,1,L2,187
R_6X1k7fBpGUn2muq,Moderation,H,82,1,68,-14,Less,0,XY,2,Y2,78
R_3n5VzU6jmPptaMn,Polarization,H,70,1,75,5,More,0,XY,2,Y1,129
R_3iFondtQckfU1bj,Polarization,A,60,1,70,10,More,0,XY,2,Y1,207
R_6rIMd7Tu1xjs24q,Polarization,A,65,1,76,11,More,0,YX,1,Y1,154
R_1d57q12tr44vstj,Moderation,A,30,1,75,45,More,0,XY,2,Y2,83
R_6gbXxNHQbaCBgtx,Moderation,H,30,0,-16,-14,Less,1,YX,2,L2,271
R_3kFequrMlELr3Le,Control,A,44,1,30,-14,Less,0,YX,1,an allozedic disease,167
R_7WPd2QPs8QCypqH,Moderation,A,37,0,-7,-30,Less,1,XY,1,L2,126
R_5yjzwcUvYG3viac,Control,A,74,1,70,-4,Equal,0,XY,2,an allozedic disease,71
R_64nVI44jh1Vpsbf,Polarization,A,77,1,88,11,More,0,YX,1,Y1,114
R_1hq1Zy4DFBdZy49,Polarization,A,70,0,40,-30,Less,0,YX,2,L1,134
R_5ssvHWNRtLVtlpb,Polarization,A,53,1,30,-23,Less,0,YX,1,Y1,117
R_72JYa08GQ5asB3J,Polarization,A,75,1,55,-20,Less,0,YX,1,Y1,138
R_6gBl6YcGj3jPAcx,Moderation,H,60,1,60,0,Equal,0,YX,1,Y2,188
R_7azuCNU5aVwTUGB,Moderation,A,65,1,1,-64,Less,0,YX,1,Y2,260
R_3QwPWUzITkB8s3n,Moderation,H,50,0,0,-50,Less,0,YX,2,L2,210
R_3lVNqKQPtaQWpOx,Control,H,47,1,41,-6,Less,0,XY,1,a hypozedic disease,306
R_3Qckve2WqwkSbMO,Polarization,A,100,1,100,0,Equal,0,YX,1,Y1,233
R_3HEN4AEbqjVGVQR,Polarization,A,66,1,80,14,More,0,XY,2,Y1,320
R_5GkfgDoYHvBaKVH,Control,H,54,1,51,-3,Equal,0,XY,1,a hypozedic disease,155
R_3Nyvmx9En5lce7J,Control,A,36,1,36,0,Equal,0,YX,1,an allozedic disease,263
R_5aeGgSpiVydBhdC,Moderation,A,30,1,33,3,Equal,0,YX,1,Y2,135
R_5gLAxHS0BraUnOo,Control,H,45,1,50,5,More,0,YX,2,a hypozedic disease,78
R_7zeYGbMc9z3jt0y,Control,H,55,1,21,-34,Less,0,YX,2,a hypozedic disease,74
R_3N9u0AwIIaAqqGp,Control,A,85,1,88,3,Equal,0,YX,1,an allozedic disease,316
R_7MWjosFVGMUfRqN,Polarization,H,55,1,57,2,Equal,0,YX,1,Y1,161
R_3fIF9vGZm9AEzs4,Control,H,54,1,67,13,More,0,YX,2,a hypozedic disease,33
R_5iDVqWNS93xKtXz,Polarization,H,17,1,38,21,More,0,XY,2,Y1,522
R_7RD0qYYzJXCSoFP,Control,H,71,1,61,-10,Less,0,XY,1,a hypozedic disease,96
R_6gvZHjwpH78VnJf,Moderation,H,67,0,49,-18,Less,0,XY,1,L2,238
R_1qsjJmBrkCij5yb,Moderation,A,70,1,65,-5,Less,0,XY,2,Y2,175
R_7iJSjFSogUQuFHP,Polarization,A,0,1,4,4,Equal,0,XY,2,Y1,137
R_7rSPG7XwKefR5dn,Moderation,H,56,0,40,-16,Less,0,XY,1,L2,274
R_5RpcOus0VWiht6h,Polarization,A,45,1,50,5,More,0,YX,1,Y1,149
R_5kHwLDRFbhO4Zvl,Moderation,A,37,1,18,-19,Less,0,XY,2,Y2,189
R_7QciXzd9abRNM5Q,Moderation,H,31,0,32,1,Equal,0,YX,2,L2,94
R_6jxKGhQgD5r2Oup,Moderation,A,29,1,9,-20,Less,0,XY,2,Y2,103
R_7g0LhgRBLmVuUbi,Control,A,63,1,30,-33,Less,0,XY,2,an allozedic disease,544
R_6BRRMUbAVoz6Rii,Control,H,0,0,0,0,Equal,0,YX,1,an allozedic disease,73
R_7eOlOoNGCz5A2mN,Polarization,H,0,1,97,97,More,0,YX,1,Y1,273
R_3FbaqmBZancnwWo,Moderation,H,50,0,-66,16,More,1,XY,1,L2,83
R_5SR0zmeiDmC5qgh,Moderation,A,48,0,29,-19,Less,0,XY,1,L2,230
R_7c1oKXych5OQSyZ,Control,H,50,0,25,-25,Less,0,XY,2,an allozedic disease,128
R_5ghVkmrw4BrbUkx,Moderation,H,70,0,-23,-47,Less,1,XY,1,L2,37
R_5lLn6dekW0M3miZ,Polarization,A,37,0,71,34,More,0,YX,2,L1,158
R_5P6STKz7qwQltcq,Polarization,A,0,1,1,1,Equal,0,YX,1,Y1,264
R_3HZyRN5yvfGtkuR,Moderation,A,62,1,50,-12,Less,0,XY,2,Y2,166
R_3RaVNPNkMJAcTQF,Moderation,A,55,0,61,6,More,0,YX,2,L2,64
R_7JFT9QgPOHeGdv7,Control,A,60,1,50,-10,Less,0,YX,1,an allozedic disease,132
R_6YmISXvMXVzLXgZ,Control,H,28,1,10,-18,Less,0,XY,1,a hypozedic disease,744
R_6m983ze4fmGxR2T,Moderation,A,60,1,55,-5,Less,0,YX,1,Y2,90
R_7Et0hk6L7uE9lnl,Moderation,H,70,1,60,-10,Less,0,XY,2,Y2,152
R_1jY6XnLBV08hNgR,Polarization,H,62,1,79,17,More,0,XY,2,Y1,151
R_51PWZFZxL1rgF2x,Polarization,A,35,1,34,-1,Equal,0,XY,2,Y1,66
R_51iyRqK2KFYEJ5H,Control,H,54,1,65,11,More,0,XY,1,a hypozedic disease,75
R_6TL5iPpovanr73o,Polarization,A,75,0,70,-5,Less,0,XY,1,L1,696
R_6GBUFOrpIHTY1iU,Control,H,65,1,55,-10,Less,0,XY,1,a hypozedic disease,165
R_6FqBNrNJ64y0X8v,Polarization,A,58,1,37,-21,Less,0,XY,2,Y1,62
R_3E5vJqVKfmoXVTE,Polarization,A,30,1,15,-15,Less,0,YX,1,Y1,525
R_5TGh90W5eSEtJI4,Moderation,H,64,1,50,-14,Less,0,YX,1,Y2,55
R_3uHEtiTH5VlM8hL,Control,H,78,1,76,-2,Equal,0,YX,2,a hypozedic disease,206
R_5rOEPraK8D4gOY8,Polarization,A,40,1,85,45,More,0,YX,1,Y1,108
R_5RVwMjkQ4rUQe7D,Polarization,H,65,1,80,15,More,0,XY,2,Y1,134
R_1VhgMpbpyShY6gF,Moderation,A,17,1,17,0,Equal,0,XY,2,Y2,150
R_7RiSTvmkCHZ2ged,Control,H,75,1,60,-15,Less,0,YX,2,a hypozedic disease,256
R_3qMIrSa5ATzP0yt,Control,H,42,0,28,-14,Less,0,XY,2,an allozedic disease,715
R_5LHfONHIAhgIoyQ,Control,H,30,1,29,-1,Equal,0,YX,2,a hypozedic disease,931
R_5DP61D5GSNDnNcg,Control,H,65,1,61,-4,Equal,0,XY,1,a hypozedic disease,70
R_1c8bEeQnLa23qBH,Control,A,50,1,40,-10,Less,0,YX,1,an allozedic disease,112
R_76mBAx3XkhNDFRX,Polarization,A,85,1,90,5,More,0,YX,1,Y1,130
R_7sdzbhhvBMxhjdz,Moderation,H,90,1,90,0,Equal,0,XY,2,Y2,137
R_1gtPtMyXfimtaiz,Polarization,H,30,1,71,41,More,0,YX,1,Y1,1039
R_6Jbn66mwDtqpq4y,Moderation,H,45,1,76,31,More,0,YX,1,Y2,71
R_6dXFcfUbkASLdEW,Moderation,A,80,1,100,20,More,0,YX,1,Y2,78
R_1GVSTtrfJ5qtSia,Moderation,H,51,1,39,-12,Less,0,XY,2,Y2,1118
R_1ILV1qbpBjIM1ev,Control,A,44,1,100,56,More,0,YX,1,an allozedic disease,82
R_56Aa88EseGvi13P,Control,A,53,1,53,0,Equal,0,YX,1,an allozedic disease,79
R_1bZX166e2X4dCFj,Control,H,90,1,92,2,Equal,0,XY,1,a hypozedic disease,177
R_6PGMvTGIaOeatuQ,Moderation,H,70,1,50,-20,Less,0,XY,2,Y2,124
R_60BDxV7wAKKxfIH,Polarization,A,77,1,64,-13,Less,0,XY,2,Y1,420
R_60T7XVe7NPm6RJU,Moderation,A,33,0,-19,-14,Less,1,XY,1,L2,44
R_7knBtExFxC4nxR3,Polarization,H,80,1,85,5,More,0,XY,2,Y1,290
R_55Bm5GaHJm56j7h,Polarization,H,90,1,95,5,More,0,YX,1,Y1,193
R_6uwULoTBEIqpJmK,Polarization,A,71,1,40,-31,Less,0,XY,2,Y1,205
R_6MSegGmojWdWShr,Polarization,H,70,0,20,-50,Less,0,XY,1,L1,152
R_1Z7869vPyWpgzhn,Polarization,H,49,1,85,36,More,0,XY,2,Y1,90
R_6PF9C6ySxB5LyKs,Moderation,A,42,1,-10,-32,Less,1,YX,1,Y2,217
R_3O825inD80bWXCa,Moderation,A,15,0,-60,45,More,1,YX,2,L2,190
R_7dX7j3u8bE6p5Hn,Control,H,46,1,30,-16,Less,0,YX,2,a hypozedic disease,535
R_7HiSn61EtyDEOlp,Control,H,63,1,63,0,Equal,0,YX,2,a hypozedic disease,254
R_3flC1Ezom2mrT9r,Moderation,A,75,0,-44,-31,Less,1,YX,2,L2,135
R_7TWSpU1URo6oxHn,Polarization,A,30,1,20,-10,Less,0,XY,2,Y1,409
